ID,Customer Name,Customer Type,Customer Group,Territory,Email Id,Billing Currency,Customer Primary Address
Ashvattha Therapeutics LLC,Ashvattha Therapeutics LLC,Company,Commercial,United States,rishi@ashvatthadiscovery.com,USD,
Assembly Biosciences,Assembly Biosciences,Company,Commercial,United States,ap@assemblybio.com,USD,
Assemblyblocks Chemical Pvt Ltd,Assemblyblocks Chemical Pvt Ltd,Company,Commercial,United States,ap@echemportal.net,USD,
Astex Therapeutics Limited,Astex Therapeutics Limited,Company,Commercial,United States,accounting.uk@astx.com,USD,
AstraZeneca - Paulette Rand,AstraZeneca - Paulette Rand,Company,Commercial,United States,paulette.rand@astrazeneca.com,USD,
"ASW MedChem, Inc.","ASW MedChem, Inc.",Company,Commercial,United States,info@aswmedchem.com,USD,
Aten Porus Lifesciences,Aten Porus Lifesciences,Company,Commercial,United States,sunny@atenporus.com; arun@atenporus.com; shrutesh@atenporus.com,USD,
Auburn Chemical Co. Inc.,Auburn Chemical Co. Inc.,Company,Commercial,United States,neelywc@auburn.edu,USD,
Auburn University - Kaleia Williams,Auburn University - Kaleia Williams,Company,Commercial,United States,d150300@auburn.edu,USD,
Augustana University,Augustana University,Company,Commercial,United States,accountspayable@augie.edu,USD,
Aurum Pharmatech LLC,Aurum Pharmatech LLC,Company,Commercial,United States,Accounting@aurumpharmatech.com,USD,
Australian National University,Australian National University,Company,Commercial,United States,kurt.russell@anu.edu.au,USD,
"Avanti Polar Lipids, Inc","Avanti Polar Lipids, Inc",Company,Commercial,United States,jtowey@avantilipids.com,USD,
Avid Radiopharmaceuticals Inc,Avid Radiopharmaceuticals Inc,Company,Commercial,United States,ap@avidrp.com,USD,
Avista Pharma Solutions,Avista Pharma Solutions,Company,Commercial,United States,ann.sanchez@avistapharma.com,USD,
AviSyn Pharma,AviSyn Pharma,Company,Commercial,United States,ap@avisyn.com,USD,
Avon Global Innovation Center,Avon Global Innovation Center,Company,Commercial,United States,jasmine.valdivia@avon.com,USD,
B&C Tech,B&C Tech,Company,Commercial,United States,info@bandctech.co.kr,USD,
Bambu Global,Bambu Global,Company,Commercial,United States,jlannan@bambuglobal.com,USD,
"Bambu Vault, LLC","Bambu Vault, LLC",Company,Commercial,United States,AP@BambuGlobal.com,USD,
Baruch S. Blumberg Institute,Baruch S. Blumberg Institute,Company,Commercial,United States,yanming.du@bblumberg.org,USD,
BASF Corp - Eugene Marshall,BASF Corp - Eugene Marshall,Company,Commercial,United States,gene.marshall@basf.com,USD,
Battelle for the US DOE,Battelle for the US DOE,Company,Commercial,United States,jill.walters@pnnl.gov,USD,
Battelle Memorial Inst - S Lambeth,Battelle Memorial Inst - S Lambeth,Company,Commercial,United States,lambeth@battelle.org,USD,
Bayer - Jilei Liu,Bayer - Jilei Liu,Company,Commercial,United States,jilei.liu@bayer.com,USD,
Baylor College of Medicine-Jin Wang,Baylor College of Medicine-Jin Wang,Company,Commercial,United States,wangj@bcm.edu,USD,
BaySide Pharma,BaySide Pharma,Company,Commercial,United States,syuan@baysidepharma.com,USD,
BC Cancer Research Center,BC Cancer Research Center,Company,Commercial,United States,hmerkens@bccrc.ca,USD,
BC Research Inc.,BC Research Inc.,Company,Commercial,United States,blouie@bcri.ca,USD,
BCN Biosciences - Andrew Norris,BCN Biosciences - Andrew Norris,Company,Commercial,United States,andrew@bcnbio.com,USD,
Beactica Therapeutics AB,Beactica Therapeutics AB,Company,Commercial,United States,609@faktura.scancloud.se,USD,
Beckman Coulter,Beckman Coulter,Company,Commercial,United States,WGALIZ@beckman.com,USD,
"Belharra Therapeutics, Inc","Belharra Therapeutics, Inc",Company,Commercial,United States,ap@belharratx.com,USD,
BellBrook Labs,BellBrook Labs,Company,Commercial,United States,info@bellbrooklabs.com,USD,
Berry College,Berry College,Company,Commercial,United States,tshipman@berry.edu,USD,
"Beta Pharma USA, Inc.","Beta Pharma USA, Inc.",Company,Commercial,United States,beverly.ziegler@betapharma.com,USD,
Beth Israel Deaconess Med Ctr,Beth Israel Deaconess Med Ctr,Company,Commercial,United States,Purchasing@bidmc.harvard.edu; tbly@bidmc.harvard.edu,USD,
Binghamton University,Binghamton University,Company,Commercial,United States,ntumey@binghamton.edu,USD,
Bio-Connect Services B.V.,Bio-Connect Services B.V.,Company,Commercial,United States,invoices@bio-connect.nl,USD,
"Bio Sourcing Co., Ltd.","Bio Sourcing Co., Ltd.",Company,Commercial,United States,biosourcing.net@gmail.com,USD,
BioCryst Pharmaceuticals,BioCryst Pharmaceuticals,Company,Commercial,United States,INVOICEPROCESSING@BIOCRYST.COM,USD,
BioCryst Pharmaceuticals (E),BioCryst Pharmaceuticals (E),Company,Commercial,United States,procurement@biocryst.com,USD,
BioDuro LLC,BioDuro LLC,Company,Commercial,United States,ap@bioduro-sundia.com,USD,
Bioduro Technology Beijing Co Ltd,Bioduro Technology Beijing Co Ltd,Company,Commercial,United States,Beijing.Chem@bioduro.com,USD,
"BioDuro(JiangSu) Co.,Ltd.","BioDuro(JiangSu) Co.,Ltd.",Company,Commercial,United States,Wuxi.Chem@bioduro-sundia.com;Zhenyu.Hou@bioduro-sundia.com,USD,
Biogen,Biogen,Company,Commercial,United States,POinvoices@biogen.com,USD,
Biohaven Pharmaceuticals,Biohaven Pharmaceuticals,Company,Commercial,United States,alex.greif@biohavenpharma.com,USD,
Biohaven Pharmaceuticals (E),Biohaven Pharmaceuticals (E),Company,Commercial,United States,alex.greif@biohavenpharma.com,USD,
BioLabs Marketplace,BioLabs Marketplace,Company,Commercial,United States,invoices@biolabs.io,USD,
"Biolabs, Inc","Biolabs, Inc",Company,Commercial,United States,darryl.mcdougald@duke.edu; anthony@biolabs.io,USD,
BioNTech Small Molecules GmbH,BioNTech Small Molecules GmbH,Company,Commercial,United States,invoice.sm@biontech.de,USD,
Biosplice Therapeutics,Biosplice Therapeutics,Company,Commercial,United States,ap@zageno.com; orders@zageno.com,USD,
"BlossomHill Therapeutics, Inc","BlossomHill Therapeutics, Inc",Company,Commercial,United States,ap@bhtherapeutics.com,USD,
Blueprint Medicines  Corporation,Blueprint Medicines  Corporation,Company,Commercial,United States,ap@blueprintmedicines.com,USD,
Boston Childrens Hospital,Boston Childrens Hospital,Company,Commercial,United States,Accounts.Payable@childrens.harvard.edu,USD,
Boston College,Boston College,Company,Commercial,United States,chembo@bc.edu,USD,
Boston University,Boston University,Company,Commercial,United States,invoices@bu.edu,USD,
Brandeis University,Brandeis University,Company,Commercial,United States,qzhang@brandeis.edu,USD,
Brigham and Womens Hospital,Brigham and Womens Hospital,Company,Commercial,United States,skoo7@bwh.harvard.edu,USD,
Brock University - Irene Palumbo,Brock University - Irene Palumbo,Company,Commercial,United States,sciencestores@brocku.ca,USD,
C-Biomex,C-Biomex,Company,Commercial,United States,hsha@cbiomex.co.kr,USD,
"C4 Therapeutics, Inc.","C4 Therapeutics, Inc.",Company,Commercial,United States,ap@c4therapeutics.com,USD,
Calibr at Scripps Research,Calibr at Scripps Research,Company,Commercial,United States,accounting@calibr.org,USD,
California Lutheran University,California Lutheran University,Company,Commercial,United States,palomav@callutheran.edu,USD,
CalTech - Annette Luymes,CalTech - Annette Luymes,Company,Commercial,United States,aluymes@caltech.edu,USD,
Cambrex,Cambrex,Company,Commercial,United States,ann.sanchez@cambrex.com,USD,
"Cambridge Isotope Laboratories, Inc","Cambridge Isotope Laboratories, Inc",Company,Commercial,United States,lens@isotope.com,USD,
CanAm Bioresearch Inc,CanAm Bioresearch Inc,Company,Commercial,United States,adelapena@canambioresearch.com,USD,
"Canon Nanotechnologies, Inc","Canon Nanotechnologies, Inc",Company,Commercial,United States,smcgovern@cnt.canon.com,USD,
"CanSyn Chem. Corp.,","CanSyn Chem. Corp.,",Company,Commercial,United States,mckague@cansyn.com,USD,
Carmot Therapeutics- Galen Loving,Carmot Therapeutics- Galen Loving,Company,Commercial,United States,gloving@carmot.us,USD,
Carmot Therapeutics - Joon Jeong,Carmot Therapeutics - Joon Jeong,Company,Commercial,United States,jjeong@carmot.us,USD,
"Carmot Therapeutics, Inc.","Carmot Therapeutics, Inc.",Company,Commercial,United States,orders@zageno.com; ap@zageno.com,USD,
Case Western Res Uni - John Dunn,Case Western Res Uni - John Dunn,Company,Commercial,United States,genepurchase@case.edu,USD,
Case Western Reserve University,Case Western Reserve University,Company,Commercial,United States,hari@case.edu,USD,
"Casma Therapeutics, Inc.","Casma Therapeutics, Inc.",Company,Commercial,United States,finance@casmatx.com,USD,
Catalent Pharma Solutions,Catalent Pharma Solutions,Company,Commercial,United States,kyle.donovan@catalent.com,USD,
Cayman Chemical Company,Cayman Chemical Company,Company,Commercial,United States,ap@caymanchem.com,USD,
Cbiomex,Cbiomex,Company,Commercial,United States,kmkang@cbiomex.co.kr,USD,
CC- IntelliSyn Pharma Inc,CC- IntelliSyn Pharma Inc,Company,Commercial,United States,mlaprise@x-chemrx.com,USD,
CC- NIH- Tyra Gresham,CC- NIH- Tyra Gresham,Company,Commercial,United States,tyra.gresham@nih.gov,USD,
CC-Naval Air Warfare Center-T Czibovic,CC-Naval Air Warfare Center-T Czibovic,Company,Commercial,United States,thomas.czibovic@navy.mil,USD,
CC - 454 Bio,CC - 454 Bio,Company,Commercial,United States,whinz@454.bio,USD,
CC - Aerie Pharmaceuticals,CC - Aerie Pharmaceuticals,Company,Commercial,United States,purchasing@aeriepharma.com,USD,
CC - Afton Chemical,CC - Afton Chemical,Company,Commercial,United States,david.edwards@aftonchemical.com,USD,
CC - Aralez Bio,CC - Aralez Bio,Company,Commercial,United States,purchasing@aralezbio.com,USD,
CC - Avidea Technologies,CC - Avidea Technologies,Company,Commercial,United States,bduvall@avideatechnologies.com,USD,
CC - Battelle - Julie Somlyody,CC - Battelle - Julie Somlyody,Company,Commercial,United States,SOMLYODYJ@battelle.org,USD,
CC - Blacksmith Medicines,CC - Blacksmith Medicines,Company,Commercial,United States,ORDERS@BLACKSMITHMEDICINES.COM,USD,
CC - Brigham Young University,CC - Brigham Young University,Company,Commercial,United States,toddjf@chem.byu.edu,USD,
CC - California Lutheran University,CC - California Lutheran University,Company,Commercial,United States,palomav@callutheran.edu,USD,
CC - Carnegie Mellon University,CC - Carnegie Mellon University,Company,Commercial,United States,nbotcha@andrew.cmu.edu,USD,
CC - Chevron Company LLC.,CC - Chevron Company LLC.,Company,Commercial,United States,aiee@chevron.com,USD,
"CC - Coating Place, Inc","CC - Coating Place, Inc",Company,Commercial,United States,cseiler@encap.com,USD,
CC - Columbia University-Adelia Gulliver,CC - Columbia University-Adelia Gulliver,Company,Commercial,United States,ag3262@columbia.edu,USD,
CC - Corteva Agriscience,CC - Corteva Agriscience,Company,Commercial,United States,jeffrey.willett@corteva.com,USD,
CC - Dalriada Drug Discovery,CC - Dalriada Drug Discovery,Company,Commercial,United States,orders@dalriadatx.com,USD,
CC - Dana Farber Cancer Institute,CC - Dana Farber Cancer Institute,Company,Commercial,United States,OlasunkanmiO_Olaoye@dfci.harvard.edu,USD,
CC - Dorian Therapeutics,CC - Dorian Therapeutics,Company,Commercial,United States,sean@doriantherapeutics.com,USD,
CC - Dow Chemical- Ryan LaSage,CC - Dow Chemical- Ryan LaSage,Company,Commercial,United States,rjlasage@dow.com,USD,
CC - Dow Inc - Rhett Baillie,CC - Dow Inc - Rhett Baillie,Company,Commercial,United States,RABaillie@dow.com,USD,
CC - Dow Performance Silicone - Peng-Fei,CC - Dow Performance Silicone - Peng-Fei,Company,Commercial,United States,pengfei.fu@dow.com,USD,
CC - Duke University - Stephen Craig,CC - Duke University - Stephen Craig,Company,Commercial,United States,virginia.ritter@duke.edu,USD,
CC - Duke University Medical Center,CC - Duke University Medical Center,Company,Commercial,United States,rebecca.meshaw@duke.edu,USD,
CC - Elanco,CC - Elanco,Company,Commercial,United States,benjamin.judge@elancoah.com,USD,
CC - EMD Performance Materials,CC - EMD Performance Materials,Company,Commercial,United States,kun.si@emdgroup.com,USD,
CC - EMD Serono - Bin Li,CC - EMD Serono - Bin Li,Company,Commercial,United States,bin.li@emdserono.com,USD,
CC - EMD Serono - Catherine jorand,CC - EMD Serono - Catherine jorand,Company,Commercial,United States,catherine.jorandlebrun@emdserono.com,USD,
CC - EMD Serono - Justin Potnick,CC - EMD Serono - Justin Potnick,Company,Commercial,United States,justin.potnick@emdserono.com,USD,
CC - EMD Serono - Momar Toure,CC - EMD Serono - Momar Toure,Company,Commercial,United States,momar.toure@emdserono.com,USD,
CC - Emory Biology Dept.- James Allen,CC - Emory Biology Dept.- James Allen,Company,Commercial,United States,Jalle39@emory.edu,USD,
CC - Emory University - S Krebs,CC - Emory University - S Krebs,Company,Commercial,United States,skrebs@emory.edu,USD,
"CC - Endocyte, Inc.","CC - Endocyte, Inc.",Company,Commercial,United States,accountspayable@endocyte.com,USD,
CC - GDIT - Tiffany Hardy,CC - GDIT - Tiffany Hardy,Company,Commercial,United States,tiffany.hardy@gdit.com,USD,
CC - Georgia Tech - V Spradling,CC - Georgia Tech - V Spradling,Company,Commercial,United States,valarie.spradling@chbe.gatech.edu,USD,
CC - Georgiamune,CC - Georgiamune,Company,Commercial,United States,aphan@georgiamune.com,USD,
CC - Iowa State University,CC - Iowa State University,Company,Commercial,United States,sspring@iastate.edu,USD,
CC - Johns Hopkins University- J Russell,CC - Johns Hopkins University- J Russell,Company,Commercial,United States,chembud@jhu.edu,USD,
CC - Johns Hopkins University- R Schnaar,CC - Johns Hopkins University- R Schnaar,Company,Commercial,United States,aawol1@jh.edu,USD,
CC - Johns Hopkins University - C Meyers,CC - Johns Hopkins University - C Meyers,Company,Commercial,United States,meyerslab@gmail.com,USD,
CC - Lawrence Livermore National Lab,CC - Lawrence Livermore National Lab,Company,Commercial,United States,murguia1@llnl.gov,USD,
CC - McDaniel College,CC - McDaniel College,Company,Commercial,United States,lbarkell@mcdaniel.edu,USD,
CC - Memorial Sloan Kettering Cancer Ctr,CC - Memorial Sloan Kettering Cancer Ctr,Company,Commercial,United States,kaverid@mskcc.org,USD,
CC - MilliporeSigma - Thane Westermeyer,CC - MilliporeSigma - Thane Westermeyer,Company,Commercial,United States,thane.westermeyer@milliporesigma.com,USD,
CC - Montana State University -G Moraski,CC - Montana State University -G Moraski,Company,Commercial,United States,garrett.moraski@montana.edu,USD,
CC - Montclair State University,CC - Montclair State University,Company,Commercial,United States,princed@mail.montclair.edu,USD,
CC - MUSC - Cynthia Gruenbaum,CC - MUSC - Cynthia Gruenbaum,Company,Commercial,United States,gruenbau@musc.edu,USD,
CC - MUSC - Reycel Rodriguez,CC - MUSC - Reycel Rodriguez,Company,Commercial,United States, rodrigur@musc.edu,USD,
CC - Mylan Pharmaceuticals Inc,CC - Mylan Pharmaceuticals Inc,Company,Commercial,United States,brenda.spruill@viatris.com,USD,
CC - National Renewable Energy Labs,CC - National Renewable Energy Labs,Company,Commercial,United States,Laura.Hollingsworth@nrel.gov,USD,
CC - NC State University,CC - NC State University,Company,Commercial,United States,cdmccrig@ncsu.edu,USD,
CC - NIDA NIH - Donna Walther,CC - NIDA NIH - Donna Walther,Company,Commercial,United States,dwalther@intra.nida.nih.gov,USD,
CC - NIH- Nicholas Capobianco,CC - NIH- Nicholas Capobianco,Company,Commercial,United States,nicholas.capobianco@nih.gov,USD,
CC - NIH - Donte Settle,CC - NIH - Donte Settle,Company,Commercial,United States,Donte.Settle@nih.gov,USD,
CC - NIH - John Johnson,CC - NIH - John Johnson,Company,Commercial,United States,johnsonjr@mail.nih.gov,USD,
CC - NIH/NCATS- Andrew Orland,CC - NIH/NCATS- Andrew Orland,Company,Commercial,United States,drew.orland@nih.gov,USD,
CC - NIH/NCATS - Karen Elmore,CC - NIH/NCATS - Karen Elmore,Company,Commercial,United States,karen.elmore@nih.gov,USD,
CC - NIH/NCATS - Rhanda Lopez,CC - NIH/NCATS - Rhanda Lopez,Company,Commercial,United States,rhanda.lopez@nih.gov,USD,
CC - NIH/NCATS - Robert McFarland,CC - NIH/NCATS - Robert McFarland,Company,Commercial,United States,mcfarlar@mail.nih.gov,USD,
CC - NIH/NHLBI - Allison Kight,CC - NIH/NHLBI - Allison Kight,Company,Commercial,United States,allison.kight@nih.gov,USD,
CC - NIH/NHLBI - Kelly Brennan,CC - NIH/NHLBI - Kelly Brennan,Company,Commercial,United States,kelly.brennan@nih.gov,USD,
CC - NIH/NIAID - Calvin Robinson,CC - NIH/NIAID - Calvin Robinson,Company,Commercial,United States,Calvin.robinson@nih.gov,USD,
CC - NIH/NIDA - Austin Brauer,CC - NIH/NIDA - Austin Brauer,Company,Commercial,United States,austin.brauer@nih.gov,USD,
CC - NIH/NIDA - Briana Patten,CC - NIH/NIDA - Briana Patten,Company,Commercial,United States,briana.patten@nih.gov,USD,
CC - NIH/NIMH - Thanh Tran,CC - NIH/NIMH - Thanh Tran,Company,Commercial,United States,lantran@mail.nih.gov,USD,
CC - North Carolina State University,CC - North Carolina State University,Company,Commercial,United States,jmassen@ncsu.edu,USD,
CC - Northern Illinois University,CC - Northern Illinois University,Company,Commercial,United States,breiter@niu.edu,USD,
CC - Octant Bio,CC - Octant Bio,Company,Commercial,United States,octant@happilabs.org,USD,
CC - Penn State College of Med - D Desai,CC - Penn State College of Med - D Desai,Company,Commercial,United States,ddesai@psu.edu,USD,
CC - PPG,CC - PPG,Company,Commercial,United States,CHENGTANG@PPG.COM,USD,
CC - Purdue University - Darci Decamp,CC - Purdue University - Darci Decamp,Company,Commercial,United States,ddecamp@purdue.edu,USD,
CC - Purdue University - Rozlyn Batta,CC - Purdue University - Rozlyn Batta,Company,Commercial,United States,rozlynbatta@purdue.edu,USD,
CC - Roche Sequencing Solutions,CC - Roche Sequencing Solutions,Company,Commercial,United States,pete.crisalli@roche.com,USD,
CC - Saint Joseph's University - M Dybek,CC - Saint Joseph's University - M Dybek,Company,Commercial,United States,mdybek@sju.edu,USD,
CC - San Diego State University - Y Yan,CC - San Diego State University - Y Yan,Company,Commercial,United States,yong.yan@sdsu.edu,USD,
CC - Socrates Biosciences,CC - Socrates Biosciences,Company,Commercial,United States,ravi.natarajan@socratesbio.com,USD,
CC - Sonendo,CC - Sonendo,Company,Commercial,United States,zgomurashvili@sonendo.com,USD,
CC - Southern Research,CC - Southern Research,Company,Commercial,United States,chemistryorders@southernresearch.org,USD,
CC - SRI International,CC - SRI International,Company,Commercial,United States,douglas.payne@sri.com,USD,
CC - SunVax mRNA Therapeutics,CC - SunVax mRNA Therapeutics,Company,Commercial,United States,libinzhang@sunvaxmrna.com,USD,
CC - SUNY College of Environmental,CC - SUNY College of Environmental,Company,Commercial,United States,sli231@syr.edu,USD,
CC - SUNY ESF,CC - SUNY ESF,Company,Commercial,United States,gleemlab@gmail.com,USD,
CC - SYNTABIO,CC - SYNTABIO,Company,Commercial,United States,accounting@syntabio.com,USD,
CC - The Ohio States University,CC - The Ohio States University,Company,Commercial,United States,Lisa.Diazlaredo@osumc.edu,USD,
CC - The University Of California Irvine,CC - The University Of California Irvine,Company,Commercial,United States,accounts-payable@uci.edu,USD,
CC - The University of Iowa-Jason Galpin,CC - The University of Iowa-Jason Galpin,Company,Commercial,United States,jason-galpin@uiowa.edu,USD,
CC - The University of Iowa - C Ahern,CC - The University of Iowa - C Ahern,Company,Commercial,United States,jason-galpin@uiowa.edu,USD,
CC - The University of Texas at Tyler,CC - The University of Texas at Tyler,Company,Commercial,United States,jdistefano@uttyler.edu,USD,
CC - Trinity University - Jason Shearer,CC - Trinity University - Jason Shearer,Company,Commercial,United States,jshearer@trinity.edu,USD,
CC - TSJ INC,CC - TSJ INC,Company,Commercial,United States,bio@usbio.co.kr,USD,
CC - Tufts University - wengen wu,CC - Tufts University - wengen wu,Company,Commercial,United States,wengen.wu@tufts.edu,USD,
CC - UC Berkeley - Anthony Mabanglo,CC - UC Berkeley - Anthony Mabanglo,Company,Commercial,United States,amabanglo@berkeley.edu,USD,
CC - UC Berkeley - April Hamilton,CC - UC Berkeley - April Hamilton,Company,Commercial,United States,AprilDH@berkeley.edu,USD,
CC - UNC - Kevin Weeks,CC - UNC - Kevin Weeks,Company,Commercial,United States,sethv@live.unc.edu,USD,
CC - UNC Chapel Hill- Adam Carr,CC - UNC Chapel Hill- Adam Carr,Company,Commercial,United States,sgalster@unc.edu; acarr25@email.unc.edu,USD,
CC - UNC Chapel Hill- Padam Acharya,CC - UNC Chapel Hill- Padam Acharya,Company,Commercial,United States,pachary@unc.edu,USD,
CC - Uni. of Kentucky - Patrick F Welsh,CC - Uni. of Kentucky - Patrick F Welsh,Company,Commercial,United States,cbo@uky.edu,USD,
CC - Unilever,CC - Unilever,Company,Commercial,United States,Jose.Rosa@unilever.com,USD,
CC - Univ of Colorado - J Butterfield,CC - Univ of Colorado - J Butterfield,Company,Commercial,United States,jesse.butterfield@colorado.edu,USD,
CC - Univ of Delaware - Peter Osazuwa,CC - Univ of Delaware - Peter Osazuwa,Company,Commercial,United States,posazuwa@udel.edu,USD,
CC - Univ of Health Sciences and Pharmcy,CC - Univ of Health Sciences and Pharmcy,Company,Commercial,United States,Kevin.Appourchaux@uhsp.edu,USD,
